id,municipality,population,latitude,longitude,area_m2,P18LESS,P19MORE
137,HULDENBERG,9300,50.79112,4.611152,40019332.19,2331,6969
138,KEERBERGEN,12637,51.006544,4.653523,18545995.85,2884,9753
139,KORTENAKEN,7587,50.894521,5.022329,49477319.1,1492,6095
140,KORTENBERG,18662,50.891188,4.568079,34933635.75,4447,14215
141,LANDEN,15058,50.756099,5.06088,53234875.98,3070,11988
142,LEUVEN,92704,50.88353,4.705078,57606128.8,17975,74729
143,LUBBEEK,13784,50.883423,4.827836,44930450.68,3148,10636
144,OUD-HEVERLEE,10937,50.821346,4.686096,31065933.55,2647,8290
145,ROTSELAAR,15290,50.960894,4.731433,37213327.43,3644,11646
146,TERVUREN,20969,50.822957,4.523614,33512219.33,5439,15530
147,TIENEN,32207,50.813244,4.941045,72943521.76,6299,25908
148,TREMELO,14050,51.000512,4.72595,21897237.87,3047,11003
149,ZOUTLEEUW,8048,50.836478,5.100382,46772124.32,1619,6429
150,LINTER,7049,50.822171,5.041214,36880373.52,1488,5561
151,SCHERPENHEUVEL-ZICHEM,22317,50.999434,4.967795,51211169.57,4278,18039
152,TIELT-WINGE,10219,50.924744,4.895805,44608489.22,2268,7951
153,GLABBEEK,5246,50.868383,4.948663,26971798.95,1162,4084
154,BEAUVECHAIN,6621,50.777435,4.763867,38705488.66,1711,4910
155,BRAINE-L'ALLEUD,37728,50.674626,4.353994,52261064.11,9118,28610
156,BRAINE-LE-CHATEAU,9580,50.680994,4.283357,22729441.99,2432,7148
157,CHAUMONT-GISTOUX,11155,50.688491,4.689807,48293782.14,3073,8082
158,COURT-SAINT-ETIENNE,9607,50.627834,4.561777,26944432.53,2684,6923
159,GENAPPE,14405,50.611464,4.455304,90257557.14,3717,10688
160,GREZ-DOICEAU,12607,50.74976,4.687275,55519023.13,3257,9350
161,INCOURT,4739,50.700383,4.780723,38760121.47,1317,3422
162,ITTRE,6137,50.643818,4.256863,35022513.3,1557,4580
163,JODOIGNE,12763,50.729709,4.85953,73672479.33,3249,9514
164,LA_HULPE,7344,50.737596,4.464075,15448492.06,1797,5547
165,MONT-SAINT-GUIBERT,6637,50.638709,4.622618,18752240.1,1829,4808
166,NIVELLES,25035,50.598307,4.331397,60829105.24,5572,19463
167,PERWEZ,7773,50.635519,4.788974,51148341.13,2091,5682
168,RIXENSART,21571,50.722164,4.524854,17496868.91,5261,16310
169,TUBIZE,22945,50.691466,4.189763,32797547.91,5812,17133
170,VILLERS-LA-VILLE,9853,50.56382,4.526133,47985408.25,2602,7251
171,WATERLOO,29448,50.71109,4.40276,21363726.89,7421,22027
172,WAVRE,32784,50.717179,4.592433,42168462.72,7884,24900
173,CHASTRE,6891,50.590741,4.622597,31493286.32,1981,4910
174,HELECINE,3147,50.749727,4.981978,16979967.27,764,2383
175,LASNE,14043,50.683687,4.4609,47627518.28,3645,10398
176,ORP-JAUCHE,8054,50.69126,4.962491,50804343.94,2080,5974
177,OTTIGNIES-LOUVAIN-LA-NEUVE,30283,50.671676,4.563409,33382891.74,7624,22659
178,RAMILLIES,5945,50.658055,4.885228,49207049.12,1667,4278
179,REBECQ,10237,50.672829,4.129546,39248816.62,2648,7589
180,WALHAIN,6160,50.632532,4.696517,38102121.97,1701,4459
181,BEERNEM,14806,51.152033,3.335875,72456571.18,3261,11545
182,BLANKENBERGE,18450,51.301639,3.139447,17712383.46,3045,15405
183,BRUGGE,117073,51.241137,3.215561,129210291.5,23638,93435
184,DAMME,10875,51.253531,3.326695,90371884.45,2404,8471
185,JABBEKE,13675,51.189915,3.095683,53739715.77,3232,10443
186,OOSTKAMP,22111,51.120693,3.229545,80173851.65,5061,17050
187,TORHOUT,19755,51.063675,3.094742,45332089.38,4111,15644
188,ZEDELGEM,22060,51.127963,3.133533,60668118.67,5133,16927
189,ZUIENKERKE,2768,51.255227,3.130647,49001257.53,621,2147
190,KNOKKE-HEIST,34026,51.332045,3.309838,56698549.39,5465,28561
191,DIKSMUIDE,15998,51.048723,2.853439,150599498.3,3751,12247
192,HOUTHULST,9307,50.971323,2.89561,56035211.94,2171,7136
193,KOEKELARE,8342,51.090343,2.962999,39441700.16,1788,6554
194,KORTEMARK,12019,51.026128,3.001056,55510743.74,2601,9418
195,LO-RENINGE,3346,50.961939,2.774568,63523200.35,864,2482
196,IEPER,34812,50.855657,2.865683,131443469.5,7674,27138
197,MESEN,997,50.76112,2.896763,3548871.8,231,766
198,POPERINGE,19837,50.862358,2.690752,120414546,4697,15140
199,WERVIK,17775,50.811499,3.055715,43741841.7,4082,13693
200,ZONNEBEKE,12092,50.867807,3.002857,68079590.01,2938,9154
201,HEUVELLAND,8167,50.77682,2.829473,94836362.95,1975,6192
202,LANGEMARK-POELKAPELLE,7792,50.917235,2.928574,53099630.7,1954,5838
203,VLETEREN,3672,50.915034,2.740804,38474481.64,880,2792
204,ANZEGEM,14116,50.83206,3.453194,42357334.22,3312,10804
205,AVELGEM,9597,50.778924,3.452716,21977911.15,2145,7452
206,DEERLIJK,11283,50.843897,3.365386,17003143.82,2561,8722
207,HARELBEKE,26328,50.865155,3.306537,29376182.39,5622,20706
208,KORTRIJK,73941,50.801387,3.263723,80782015.47,15970,57971
209,KUURNE,12649,50.861602,3.270779,10096346.16,2796,9853
210,LENDELEDE,5467,50.887358,3.231279,13296821.31,1163,4304
211,MENEN,32450,50.793844,3.153651,33189983.16,7329,25121
212,WAREGEM,35963,50.882359,3.401334,45253734.71,8094,27869
213,WEVELGEM,30930,50.832669,3.173062,39116069.01,7200,23730
214,ZWEVEGEM,23898,50.788291,3.371764,63652629.4,5484,18414
215,SPIERE-HELKIJN,2050,50.731829,3.36195,10811371.63,535,1515
216,BREDENE,15578,51.237981,2.976812,12985704.97,3458,12120
217,GISTEL,11384,51.152413,2.942439,42859913.23,2784,8600
218,ICHTEGEM,13574,51.114553,3.029697,46401039.17,3061,10513
219,MIDDELKERKE,18378,51.153637,2.839684,76008919.65,3228,15150
220,OOSTENDE,69175,51.21064,2.925474,37832909.64,12196,56979
221,OUDENBURG,8955,51.188061,3.011647,34988872.35,2001,6954
222,DE_HAAN,12243,51.260267,3.046783,42002861.89,2207,10036
223,HOOGLEDE,9928,50.990788,3.0815,38110096.08,2337,7591
224,INGELMUNSTER,10620,50.922818,3.259879,16404081.57,2377,8243
225,IZEGEM,26781,50.922524,3.204787,25576923.75,5669,21112
226,LEDEGEM,9371,50.87321,3.148411,24866687.03,2149,7222
227,LICHTERVELDE,8489,51.029141,3.1454,26099839.17,1995,6494
228,MOORSLEDE,10840,50.882235,3.078191,35456439.62,2375,8465
229,ROESELARE,56547,50.938181,3.132783,60443429.9,12550,43997
230,STADEN,11040,50.955091,3.018119,46823328.93,2613,8427
231,DENTERGEM,8223,50.954594,3.405842,26138012.03,1953,6270
232,MEULEBEKE,11031,50.952398,3.294268,29500657.08,2493,8538
233,OOSTROZEBEKE,7502,50.931949,3.336432,16735848.5,1775,5727
234,PITTEM,6586,51.002314,3.264786,34662264.62,1538,5048
235,RUISELEDE,5128,51.056472,3.381532,30536973.58,1177,3951
236,TIELT,19474,51.007851,3.362987,68869286.31,4134,15340
237,WIELSBEKE,9093,50.913593,3.366086,21210358.74,2244,6849
238,WINGENE,13461,51.060862,3.259265,68476219.94,3185,10276
239,ARDOOIE,9086,50.983029,3.202292,34974875.19,1915,7171
240,ALVERINGEM,4963,50.977061,2.676939,80733487.56,1295,3668
241,DE_PANNE,10285,51.080107,2.589108,24281742.46,1928,8357
242,KOKSIJDE,21515,51.110927,2.681446,45092210.99,3379,18136
243,NIEUWPOORT,11062,51.124531,2.766525,31404903.11,1966,9096
244,VEURNE,11748,51.047929,2.663966,97137126.28,2626,9122
245,AALST,78271,50.946054,4.067961,78602683.42,15802,62469
246,DENDERLEEUW,17937,50.887757,4.057332,13878631.27,3877,14060
247,GERAARDSBERGEN,31667,50.780981,3.903274,80043809.95,6806,24861
248,HAALTERT,17528,50.886029,3.992479,30537398.33,3553,13975
249,HERZELE,16999,50.8718,3.891671,47851086.42,3674,13325
250,LEDE,17473,50.967439,3.944812,29918335.4,3650,13823
251,NINOVE,36219,50.827447,4.004038,73101459.28,7792,28427
252,SINT-LIEVENS-HOUTEM,9534,50.932343,3.875067,27038120.7,2035,7499
253,ZOTTEGEM,24660,50.869012,3.804758,57423490.35,4885,19775
254,ERPE-MERE,19201,50.922872,3.951221,34365721.22,3920,15281
255,BERLARE,14452,51.037609,3.978486,38216835.3,3177,11275
256,BUGGENHOUT,13973,51.013217,4.198263,25622415.65,2994,10979
257,DENDERMONDE,43618,51.028877,4.089712,56456904.49,9189,34429
258,HAMME,23547,51.079321,4.139169,40716106.84,5382,18165
259,LAARNE,11851,51.04374,3.883361,32620956.77,2521,9330
260,LEBBEKE,17651,50.993851,4.11816,27367028.89,3836,13815
